seed,steady_state_step,framework,phase,threshold,true_positive,false_positive,false_negative,true_negative,precision,recall,specificity,f1_score,balanced_accuracy,event_coverage,volume_coverage,eligible_success_rate
7000,599,ISF,refined,0.02,1365,8635,0,0,0.1365,1.0,0.0,0.24021117465904093,0.5,1.0,1.0,0.1365
7000,599,ISF,refined,0.03,1365,8635,0,0,0.1365,1.0,0.0,0.24021117465904093,0.5,1.0,1.0,0.1365
7000,599,ISF,refined,0.04,1365,8635,0,0,0.1365,1.0,0.0,0.24021117465904093,0.5,1.0,1.0,0.1365
7000,599,ISF,refined,0.05,1365,8635,0,0,0.1365,1.0,0.0,0.24021117465904093,0.5,1.0,1.0,0.1365
7000,599,ISF,refined,0.06,1365,8635,0,0,0.1365,1.0,0.0,0.24021117465904093,0.5,1.0,1.0,0.1365
7000,599,ISF,refined,0.07,1365,8635,0,0,0.1365,1.0,0.0,0.24021117465904093,0.5,1.0,1.0,0.1365
7000,599,ISF,refined,0.08,1365,8635,0,0,0.1365,1.0,0.0,0.24021117465904093,0.5,1.0,1.0,0.1365
7000,599,ISF,refined,0.09,1365,8635,0,0,0.1365,1.0,0.0,0.24021117465904093,0.5,1.0,1.0,0.1365
7000,599,ISF,coarse_and_refined,0.1,1365,8635,0,0,0.1365,1.0,0.0,0.24021117465904093,0.5,1.0,1.0,0.1365
7000,599,ISF,coarse,0.2,0,0,1365,8635,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7000,599,ISF,coarse,0.3,0,0,1365,8635,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7000,599,ISF,coarse,0.4,0,0,1365,8635,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7000,599,ISF,coarse,0.5,0,0,1365,8635,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7000,599,ISF,coarse,0.6,0,0,1365,8635,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7000,599,ISF,coarse,0.7,0,0,1365,8635,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7000,599,ISF,coarse,0.8,0,0,1365,8635,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7000,599,ISF,coarse,0.9,0,0,1365,8635,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7000,599,ISF,coarse,1.0,0,0,1365,8635,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7001,549,DBL,coarse_and_refined,0.0,1370,8630,0,0,0.137,1.0,0.0,0.24098504837291118,0.5,1.0,1.0,0.137
7001,549,DBL,refined,0.01,1370,8630,0,0,0.137,1.0,0.0,0.24098504837291118,0.5,1.0,1.0,0.137
7001,549,DBL,refined,0.02,1370,8630,0,0,0.137,1.0,0.0,0.24098504837291118,0.5,1.0,1.0,0.137
7001,549,DBL,refined,0.03,1370,8630,0,0,0.137,1.0,0.0,0.24098504837291118,0.5,1.0,1.0,0.137
7001,549,DBL,refined,0.04,1370,8630,0,0,0.137,1.0,0.0,0.24098504837291118,0.5,1.0,1.0,0.137
7001,549,DBL,refined,0.05,1370,8630,0,0,0.137,1.0,0.0,0.24098504837291118,0.5,1.0,1.0,0.137
7001,549,DBL,refined,0.06,1370,8630,0,0,0.137,1.0,0.0,0.24098504837291118,0.5,1.0,1.0,0.137
7001,549,DBL,refined,0.07,1370,8630,0,0,0.137,1.0,0.0,0.24098504837291118,0.5,1.0,1.0,0.137
7001,549,DBL,refined,0.08,1370,8630,0,0,0.137,1.0,0.0,0.24098504837291118,0.5,1.0,1.0,0.137
7001,549,DBL,refined,0.09,1370,8630,0,0,0.137,1.0,0.0,0.24098504837291118,0.5,1.0,1.0,0.137
7001,549,DBL,coarse_and_refined,0.1,1370,8630,0,0,0.137,1.0,0.0,0.24098504837291118,0.5,1.0,1.0,0.137
7001,549,DBL,coarse,0.2,0,0,1370,8630,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7001,549,DBL,coarse,0.3,0,0,1370,8630,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7001,549,DBL,coarse,0.4,0,0,1370,8630,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7001,549,DBL,coarse,0.5,0,0,1370,8630,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7001,549,DBL,coarse,0.6,0,0,1370,8630,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7001,549,DBL,coarse,0.7,0,0,1370,8630,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7001,549,DBL,coarse,0.8,0,0,1370,8630,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7001,549,DBL,coarse,0.9,0,0,1370,8630,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7001,549,DBL,coarse,1.0,0,0,1370,8630,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7001,549,DMM,coarse_and_refined,0.0,1370,8630,0,0,0.137,1.0,0.0,0.24098504837291118,0.5,1.0,1.0,0.137
7001,549,DMM,refined,0.01,1370,8630,0,0,0.137,1.0,0.0,0.24098504837291118,0.5,1.0,1.0,0.137
7001,549,DMM,refined,0.02,1370,8630,0,0,0.137,1.0,0.0,0.24098504837291118,0.5,1.0,1.0,0.137
7001,549,DMM,refined,0.03,1370,8630,0,0,0.137,1.0,0.0,0.24098504837291118,0.5,1.0,1.0,0.137
7001,549,DMM,refined,0.04,1370,8630,0,0,0.137,1.0,0.0,0.24098504837291118,0.5,1.0,1.0,0.137
7001,549,DMM,refined,0.05,1370,8630,0,0,0.137,1.0,0.0,0.24098504837291118,0.5,1.0,1.0,0.137
7001,549,DMM,refined,0.06,1370,8630,0,0,0.137,1.0,0.0,0.24098504837291118,0.5,1.0,1.0,0.137
7001,549,DMM,refined,0.07,1370,8630,0,0,0.137,1.0,0.0,0.24098504837291118,0.5,1.0,1.0,0.137
7001,549,DMM,refined,0.08,1370,8630,0,0,0.137,1.0,0.0,0.24098504837291118,0.5,1.0,1.0,0.137
7001,549,DMM,refined,0.09,1370,8630,0,0,0.137,1.0,0.0,0.24098504837291118,0.5,1.0,1.0,0.137
7001,549,DMM,coarse_and_refined,0.1,1370,8630,0,0,0.137,1.0,0.0,0.24098504837291118,0.5,1.0,1.0,0.137
7001,549,DMM,coarse,0.2,0,0,1370,8630,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7001,549,DMM,coarse,0.3,0,0,1370,8630,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7001,549,DMM,coarse,0.4,0,0,1370,8630,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7001,549,DMM,coarse,0.5,0,0,1370,8630,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7001,549,DMM,coarse,0.6,0,0,1370,8630,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7001,549,DMM,coarse,0.7,0,0,1370,8630,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7001,549,DMM,coarse,0.8,0,0,1370,8630,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7001,549,DMM,coarse,0.9,0,0,1370,8630,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
7001,549,DMM,coarse,1.0,0,0,1370,8630,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0
